temp,prec,invierno,otoño,primavera,verano,mp25
12.4,0,0,1,0,0,9
13.6,0,0,1,0,0,14
13.2,0,0,1,0,0,5
11.7,0,0,1,0,0,10
13,0,0,1,0,0,18
14.9,0,0,1,0,0,32
12.5,0,0,1,0,0,34
16.3,0,0,1,0,0,22
13.9,0,0,1,0,0,17
15,1.2,0,1,0,0,15
12.8,2,0,1,0,0,17
12.4,2.8,0,1,0,0,7
13.5,0,0,1,0,0,11
12,1.4,0,1,0,0,27
12.4,6.8,0,1,0,0,34
13,9,0,1,0,0,42
13.1,1,0,1,0,0,20
12.5,0.4,0,1,0,0,22
12.6,0,0,1,0,0,68
12.4,0.2,0,1,0,0,58
9.9,5.6,0,1,0,0,53
13.8,8.2,0,1,0,0,31
16.4,1.6,0,1,0,0,14
14.7,0.2,0,1,0,0,15
13.1,4,0,1,0,0,36
10.6,2.8,0,1,0,0,33
12.5,0.2,0,1,0,0,18
12.7,0,0,1,0,0,16
7.6,0,0,1,0,0,39
11.3,0,0,1,0,0,26
11.3,0.4,0,1,0,0,24
